Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size,time_to_voxelize
6.0,4,17.46563350096345,-330.54420589148015,/home/sayon/autoware_map/town01/splitted_32/32_28_-337.pcd,0.1,0,5,501.0,0.3567924499511719,0.003882169723510742
6.0,5,334.76717425431707,-214.26,/home/sayon/autoware_map/town01/splitted_32/32_348_-211.pcd,0.0476190476190476,0,6,501.0,0.3372154235839844,0.009365558624267578
7.0,0,2.02,-268.28644036872817,/home/sayon/autoware_map/town01/splitted_32/32_12_-267.pcd,0.0454545454545454,0,7,501.0,0.1528587341308593,0.002382516860961914
7.0,1,88.379283070605,-43.64719948206101,/home/sayon/autoware_map/town01/splitted_32/32_92_-43.pcd,0.0434782608695652,0,7,501.0,0.3126792907714844,0.0035719871520996094
7.0,2,125.72142545470037,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_140_-1.pcd,0.0416666666666666,0,7,501.0,0.2459526062011718,0.0030279159545898438
7.0,3,306.9231943250261,-129.5108177298,/home/sayon/autoware_map/town01/splitted_32/32_316_-127.pcd,0.08,0,6,501.0,0.2816276550292969,0.003267049789428711
7.0,4,21.97326899419073,-330.5468009608487,/home/sayon/autoware_map/town01/splitted_32/32_28_-337.pcd,0.1153846153846153,0,5,501.0,0.3567924499511719,0.0038475990295410156
7.0,5,334.7664072564678,-215.644303284972,/home/sayon/autoware_map/town01/splitted_32/32_348_-211.pcd,0.074074074074074,0,6,501.0,0.3372154235839844,0.00376129150390625
7.0,6,320.52999751411244,2.009999999999991,,0.0357142857142857,1,7,15.771172983019866,0.0,0.0
8.0,0,2.02,-254.6885992239854,/home/sayon/autoware_map/town01/splitted_32/32_12_-253.pcd,0.0344827586206896,0,8,501.0,0.0241336822509765,0.0013592243194580078
8.0,1,88.38,-54.72264523050751,/home/sayon/autoware_map/town01/splitted_32/32_92_-57.pcd,0.0333333333333333,0,8,501.0,0.3578605651855469,0.014953136444091797
8.0,2,134.0950862510223,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_140_-1.pcd,0.064516129032258,1,7,501.0,0.2459526062011718,0.003062725067138672
8.0,3,298.6196843535267,-129.50674411416864,/home/sayon/autoware_map/town01/splitted_32/32_300_-127.pcd,0.03125,1,8,9.278306595740323,0.3211021423339844,0.010555505752563477
8.0,4,28.87768357604742,-330.5507758684951,/home/sayon/autoware_map/town01/splitted_32/32_44_-337.pcd,0.0303030303030303,0,8,501.0,0.3612174987792969,0.003976106643676758
8.0,5,334.7647087136081,-218.70989005629903,/home/sayon/autoware_map/town01/splitted_32/32_348_-225.pcd,0.0294117647058823,0,8,501.0,0.4060783386230469,0.004296541213989258
8.0,6,318.80246714413994,2.015064271055678,,0.0571428571428571,0,7,15.771172983019866,0.0,0.0
