Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size
259.0,46,-1.99,-304.25582059223353,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,0.007422266800401204,1,1,501,0.4409599304199219
259.0,47,392.32,-243.9095507246493,/home/sayon/autoware_map/town01/splitted_16/16_396_-244.pcd,0.003810669875651825,0,59,501,1.3510398864746094
259.0,48,131.91841501517575,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.027070382995789052,1,6,501,0.5731925964355469
259.0,49,392.3,-158.82472249286695,/home/sayon/autoware_map/town01/splitted_16/16_396_-163.pcd,0.003408179631114675,0,259,272.3828748196085,1.0423088073730469
259.0,50,349.2348897322114,1.9994472553728428,/home/sayon/autoware_map/town01/splitted_16/16_364_-1.pcd,0.008618961715774705,1,257,262.0758246338586,1.0383262634277344
259.0,51,338.83675960465666,-108.96474599833135,/home/sayon/autoware_map/town01/splitted_16/16_332_-109.pcd,0.01002004008016032,0,257,304.0846017308708,1.1528434753417969
260.0,22,176.5821806572498,2.0399999999999636,/home/sayon/autoware_map/town01/splitted_16/16_172_-1.pcd,0.03165698256862352,0,10,501,0.6239433288574219
260.0,25,334.797624197249,-169.64680997444563,/home/sayon/autoware_map/town01/splitted_16/16_332_-163.pcd,0.027043269230769232,1,44,501,0.9777946472167969
260.0,26,334.79047693276163,-184.64891813338403,/home/sayon/autoware_map/town01/splitted_16/16_332_-190.pcd,0.04265972361305828,0,254,271.14099762807865,0.7514762878417969
260.0,31,88.38835519042215,-111.33797929209942,/home/sayon/autoware_map/town01/splitted_16/16_108_-109.pcd,0.03904685622747297,0,11,501,0.8230400085449219
260.0,35,92.39022500967262,-142.8410680334917,/home/sayon/autoware_map/town01/splitted_16/16_108_-136.pcd,0.023823823823823823,0,252,264.59669669625504,1.4108085632324219
260.0,37,169.0810778747347,2.0399999999999636,/home/sayon/autoware_map/town01/splitted_16/16_172_-1.pcd,0.03182546036829464,1,10,501,0.6239433288574219
260.0,38,88.37541589317337,-30.14688306821273,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.02501500900540324,0,251,281.7539437346859,1.5176963806152344
260.0,39,88.37756457874481,-37.64794439813261,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.025210084033613446,0,251,281.7539437346859,1.5176963806152344
260.0,40,88.37971325960802,-45.14898929161393,/home/sayon/autoware_map/town01/splitted_16/16_108_-55.pcd,0.04120824164832967,0,8,501,1.0776939392089844
260.0,41,92.39191102009046,-150.34212838247785,/home/sayon/autoware_map/town01/splitted_16/16_108_-136.pcd,0.024,1,252,264.59669669625504,1.4108085632324219
260.0,42,334.7940505661984,-177.14786154957238,/home/sayon/autoware_map/town01/splitted_16/16_332_-163.pcd,0.027194561087782444,0,44,501,0.9777946472167969
260.0,43,143.95899189793732,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.027189124350259896,1,6,501,0.5731925964355469
260.0,44,338.8095230899674,-144.67103415846753,/home/sayon/autoware_map/town01/splitted_16/16_332_-136.pcd,0.056366180291824906,0,4,501,0.7308616638183594
260.0,45,88.38980634415736,-118.83899294938897,/home/sayon/autoware_map/town01/splitted_16/16_108_-109.pcd,0.03916866506794564,0,11,501,0.8230400085449219
260.0,46,-1.99,-317.86514527687336,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,0.007592407592407592,1,1,501,0.4409599304199219
260.0,47,392.33,-255.60955988642806,/home/sayon/autoware_map/town01/splitted_16/16_396_-244.pcd,0.003995205753096284,0,59,501,1.3510398864746094
260.0,48,136.32804545606592,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.027361693628919513,1,6,501,0.5731925964355469
260.0,49,392.30654747251367,-170.599494502728,/home/sayon/autoware_map/town01/splitted_16/16_396_-163.pcd,0.003594249201277955,0,259,272.3828748196085,1.0423088073730469
260.0,50,349.2327121479656,1.99944845316395,/home/sayon/autoware_map/town01/splitted_16/16_364_-1.pcd,0.008784188460770613,1,257,262.0758246338586,1.0383262634277344
260.0,51,338.84027449064183,-102.92500024709852,/home/sayon/autoware_map/town01/splitted_16/16_332_-109.pcd,0.010179640718562874,0,257,304.0846017308708,1.1528434753417969
261.0,22,176.5821806572498,2.0399999999999636,/home/sayon/autoware_map/town01/splitted_16/16_172_-1.pcd,0.03192975454001197,0,10,501,0.6239433288574219
261.0,25,334.797624197249,-169.64680997444563,/home/sayon/autoware_map/town01/splitted_16/16_332_-163.pcd,0.02733439744612929,1,44,501,0.9777946472167969
261.0,26,334.79047693276163,-184.64891813338403,/home/sayon/autoware_map/town01/splitted_16/16_332_-190.pcd,0.04268900857769799,0,254,271.14099762807865,0.7514762878417969
261.0,31,88.38835519042215,-111.33797929209942,/home/sayon/autoware_map/town01/splitted_16/16_108_-109.pcd,0.03928998803350618,0,11,501,0.8230400085449219
261.0,35,92.39022500967262,-142.8410680334917,/home/sayon/autoware_map/town01/splitted_16/16_108_-136.pcd,0.024127617148554336,0,252,264.59669669625504,1.4108085632324219
261.0,37,169.0810778747347,2.0399999999999636,/home/sayon/autoware_map/town01/splitted_16/16_172_-1.pcd,0.03209728867623605,1,10,501,0.6239433288574219
261.0,38,88.37541589317337,-30.14688306821273,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.025313932629061193,0,251,281.7539437346859,1.5176963806152344
261.0,39,88.37756457874481,-37.64794439813261,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.025508170585890794,0,251,281.7539437346859,1.5176963806152344
261.0,40,88.37971325960802,-45.14898929161393,/home/sayon/autoware_map/town01/splitted_16/16_108_-55.pcd,0.041243275552898986,0,8,501,1.0776939392089844
261.0,41,92.39191102009046,-150.34212838247785,/home/sayon/autoware_map/town01/splitted_16/16_108_-136.pcd,0.024302788844621514,1,252,264.59669669625504,1.4108085632324219
261.0,42,334.7940505661984,-177.14786154957238,/home/sayon/autoware_map/town01/splitted_16/16_332_-163.pcd,0.02748456482772356,0,44,501,0.9777946472167969
261.0,43,143.95899189793732,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.027479091995221028,1,6,501,0.5731925964355469
261.0,44,338.8095230899674,-144.67103415846753,/home/sayon/autoware_map/town01/splitted_16/16_332_-136.pcd,0.05634083217200876,0,4,501,0.7308616638183594
261.0,45,88.38980634415736,-118.83899294938897,/home/sayon/autoware_map/town01/splitted_16/16_108_-109.pcd,0.039410828025477705,0,11,501,0.8230400085449219
261.0,46,4.418592930313072,-329.32172970456685,/home/sayon/autoware_map/town01/splitted_16/16_12_-325.pcd,0.0023880597014925373,0,53,501,1.1495628356933594
261.0,47,392.33,-267.60081645835385,/home/sayon/autoware_map/town01/splitted_16/16_396_-271.pcd,0.0029844807003581377,1,261,276.0529539974317,1.5397319793701172
261.0,48,136.39862476889368,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.027650686294012333,1,6,501,0.5731925964355469
261.0,49,392.31,-181.80621886414858,/home/sayon/autoware_map/town01/splitted_16/16_396_-163.pcd,0.003778838504375497,0,259,272.3828748196085,1.0423088073730469
261.0,50,349.2317213728311,1.9994489981447714,/home/sayon/autoware_map/town01/splitted_16/16_364_-1.pcd,0.008948101014118115,1,257,262.0758246338586,1.0383262634277344
261.0,51,338.8447732071958,-95.194705635258,/home/sayon/autoware_map/town01/splitted_16/16_332_-82.pcd,0.012326043737574552,1,66,501,0.6661643981933594
