Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size,time_to_voxelize
10,1,88.3823,-80.0718,/home/sayon/autoware_map/town01/splitted/4_73_-91.pcd,0.0212765957446808,0,10,501.0,0.2449150085449218,0.0031325817108154297
10,2,151.663,-4.13844,/home/sayon/autoware_map/town01/splitted/5_151_-5.pcd,0.0208333333333333,0,10,501.0,0.039377212524414,0.0014808177947998047
10,3,277.156,-129.496,/home/sayon/autoware_map/town01/splitted/5_275_-135.pcd,0.0204081632653061,0,10,501.0,0.046243667602539,0.001539468765258789
10,4,47.7745,-330.562,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.1,0,6,501.0,2.0388622283935547,0.018431425094604492
10,5,334.758,-230.165,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd,0.0392156862745098,0,9,501.0,0.2604942321777344,0.0034012794494628906
10,6,309.748,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.0576923076923076,0,8,501.0,0.6924400329589844,0.006329536437988281
10,7,2.01,-305.962,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.0943396226415094,0,2,501.0,0.3863029479980469,0.0040132999420166016
10,8,334.767,-215.365,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd,0.0555555555555555,1,7,23.43220320822981,0.060373306274414,0.0016431808471679688
10,9,92.3989,-181.23,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd,0.0181818181818181,0,10,501.0,0.1668815612792968,0.0024542808532714844
11,0,2.01,-213.651,/home/sayon/autoware_map/town01/splitted/5_-3_-214.pcd,0.0178571428571428,0,11,501.0,0.0440006256103515,0.00151824951171875
11,1,88.3848,-93.0547,/home/sayon/autoware_map/town01/splitted/5_81_-97.pcd,0.0175438596491228,0,11,501.0,0.0432682037353515,0.0015177726745605469
11,10,92.389,-114.74,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd,0.0172413793103448,0,11,501.0,0.1932029724121093,0.0026674270629882812
11,2,154.069,-11.7313,/home/sayon/autoware_map/town01/splitted/5_151_-16.pcd,0.0169491525423728,0,11,501.0,0.042337417602539,0.001535654067993164
11,3,264.197,-129.49,/home/sayon/autoware_map/town01/splitted/5_259_-134.pcd,0.0166666666666666,0,11,501.0,0.040536880493164,0.0014801025390625
11,4,59.8197,-330.569,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.0983606557377049,0,6,501.0,2.0388622283935547,0.0185091495513916
11,5,334.754,-238.931,/home/sayon/autoware_map/town01/splitted/5_330_-240.pcd,0.0161290322580645,0,11,501.0,0.040109634399414,0.0017883777618408203
11,6,301.53,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.0634920634920634,0,8,501.0,0.6924400329589844,0.0063321590423583984
